Freq.	V(wyjscie)
1.00000000000000e+001	(-3.99681461501939e+001dB,1.79719240893026e+002°)
1.00695555005672e+001	(-3.98477341456606e+001dB,1.79717288044752e+002°)
1.01395947979003e+001	(-3.97273221410401e+001dB,1.79715321613044e+002°)
1.02101212570719e+001	(-3.96069101363310e+001dB,1.79713341503416e+002°)
1.02811382665607e+001	(-3.94864981315322e+001dB,1.79711347620724e+002°)
1.03526492384138e+001	(-3.93660861266425e+001dB,1.79709339869163e+002°)
1.04246576084112e+001	(-3.92456741216605e+001dB,1.79707318152260e+002°)
1.04971668362307e+001	(-3.91252621165850e+001dB,1.79705282372871e+002°)
1.05701804056138e+001	(-3.90048501114147e+001dB,1.79703232433178e+002°)
1.06437018245336e+001	(-3.88844381061483e+001dB,1.79701168234680e+002°)
1.07177346253629e+001	(-3.87640261007844e+001dB,1.79699089678192e+002°)
1.07922823650443e+001	(-3.86436140953217e+001dB,1.79696996663840e+002°)
1.08673486252606e+001	(-3.85232020897588e+001dB,1.79694889091053e+002°)
1.09429370126074e+001	(-3.84027900840944e+001dB,1.79692766858562e+002°)
1.10190511587661e+001	(-3.82823780783269e+001dB,1.79690629864391e+002°)
1.10956947206785e+001	(-3.81619660724551e+001dB,1.79688478005859e+002°)
1.11728713807222e+001	(-3.80415540664773e+001dB,1.79686311179566e+002°)
1.12505848468881e+001	(-3.79211420603923e+001dB,1.79684129281395e+002°)
1.13288388529580e+001	(-3.78007300541984e+001dB,1.79681932206505e+002°)
1.14076371586842e+001	(-3.76803180478942e+001dB,1.79679719849324e+002°)
1.14869835499704e+001	(-3.75599060414782e+001dB,1.79677492103546e+002°)
1.15668818390529e+001	(-3.74394940349487e+001dB,1.79675248862126e+002°)
1.16473358646846e+001	(-3.73190820283043e+001dB,1.79672990017275e+002°)
1.17283494923188e+001	(-3.71986700215432e+001dB,1.79670715460452e+002°)
1.18099266142953e+001	(-3.70782580146640e+001dB,1.79668425082361e+002°)
1.18920711500272e+001	(-3.69578460076649e+001dB,1.79666118772949e+002°)
1.19747870461893e+001	(-3.68374340005444e+001dB,1.79663796421392e+002°)
1.20580782769076e+001	(-3.67170219933006e+001dB,1.79661457916099e+002°)
1.21419488439505e+001	(-3.65966099859320e+001dB,1.79659103144701e+002°)
1.22264027769207e+001	(-3.64761979784368e+001dB,1.79656731994048e+002°)
1.23114441334492e+001	(-3.63557859708131e+001dB,1.79654344350202e+002°)
1.23970769993899e+001	(-3.62353739630594e+001dB,1.79651940098433e+002°)
1.24833054890161e+001	(-3.61149619551736e+001dB,1.79649519123210e+002°)
1.25701337452183e+001	(-3.59945499471541e+001dB,1.79647081308203e+002°)
